x,y,z
1.5835,1.5,1.7293
1.5841,1.5,1.7312
1.5848,1.5,1.733
1.5855,1.5,1.7349
1.5862,1.5,1.7368
1.5869,1.5,1.7387
1.5876,1.5,1.7406
1.5882,1.5,1.7424
1.5889,1.5,1.7443
1.5896,1.5,1.7462
1.5903,1.5,1.7481
1.591,1.5,1.75
1.5917,1.5,1.7518
1.5923,1.5,1.7537
1.593,1.5,1.7556
1.5937,1.5,1.7575
1.5944,1.5,1.7594
1.5951,1.5,1.7612
1.5958,1.5,1.7631
1.5964,1.5,1.765
1.5971,1.5,1.7669
1.5978,1.5,1.7688
1.5985,1.5,1.7706
1.5992,1.5,1.7725
1.5999,1.5,1.7744
1.6006,1.5,1.7763
1.6012,1.5,1.7781
1.6019,1.5,1.78
1.6026,1.5,1.7819
1.6033,1.5,1.7838
1.604,1.5,1.7857
1.6047,1.5,1.7875
1.6053,1.5,1.7894
1.606,1.5,1.7913
1.6067,1.5,1.7932
1.6074,1.5,1.7951
1.6081,1.5,1.7969
1.6088,1.5,1.7988
1.6094,1.5,1.8007
1.6101,1.5,1.8026
1.6108,1.5,1.8045
1.6115,1.5,1.8063
1.6122,1.5,1.8082
1.6129,1.5,1.8101
1.6136,1.5,1.812
1.6142,1.5,1.8139
1.6149,1.5,1.8157
1.6156,1.5,1.8176
1.6163,1.5,1.8195
1.617,1.5,1.8214
1.6177,1.5,1.8233
1.6183,1.5,1.8251
1.619,1.5,1.827
1.6197,1.5,1.8289
1.6204,1.5,1.8308
1.6211,1.5,1.8327
1.6218,1.5,1.8345
1.6224,1.5,1.8364
1.6231,1.5,1.8383
1.6238,1.5,1.8402
1.6245,1.5,1.842
1.6252,1.5,1.8439
1.6259,1.5,1.8458
1.6265,1.5,1.8477
1.6272,1.5,1.8496
1.6279,1.5,1.8514
1.6286,1.5,1.8533
1.6293,1.5,1.8552
1.63,1.5,1.8571
1.6307,1.5,1.859
1.6313,1.5,1.8608
1.632,1.5,1.8627
1.6327,1.5,1.8646
1.6334,1.5,1.8665
1.6341,1.5,1.8684
1.6348,1.5,1.8702
1.6354,1.5,1.8721
1.6361,1.5,1.874
1.6368,1.5,1.8759
1.6375,1.5,1.8778
1.6382,1.5,1.8796
1.6389,1.5,1.8815
1.6395,1.5,1.8834
1.6402,1.5,1.8853
1.6409,1.5,1.8872
1.6416,1.5,1.889
1.6423,1.5,1.8909
1.643,1.5,1.8928
1.6436,1.5,1.8947
1.6443,1.5,1.8966
1.645,1.5,1.8984
1.6457,1.5,1.9003
1.6464,1.5,1.9022
1.6471,1.5,1.9041
1.6478,1.5,1.9059
1.6484,1.5,1.9078
1.6491,1.5,1.9097
1.6498,1.5,1.9116
1.6505,1.5,1.9135
1.6512,1.5,1.9153
1.6519,1.5,1.9172
1.6525,1.5,1.9191
1.6532,1.5,1.921
1.6539,1.5,1.9229
1.6546,1.5,1.9247
1.6553,1.5,1.9266
1.656,1.5,1.9285
1.6566,1.5,1.9304
1.6573,1.5,1.9323
1.658,1.5,1.9341
1.6587,1.5,1.936
1.6594,1.5,1.9379
1.6601,1.5,1.9398
1.6607,1.5,1.9417
1.6614,1.5,1.9435
1.6621,1.5,1.9454
1.6628,1.5,1.9473
1.6635,1.5,1.9492
1.6642,1.5,1.9511
1.6649,1.5,1.9529
1.6655,1.5,1.9548
1.6662,1.5,1.9567
1.6669,1.5,1.9586
1.6676,1.5,1.9604
1.6683,1.5,1.9623
1.669,1.5,1.9642
1.6696,1.5,1.9661
1.6703,1.5,1.968
1.671,1.5,1.9698
1.6717,1.5,1.9717
1.6724,1.5,1.9736
1.6731,1.5,1.9755
1.6737,1.5,1.9774
1.6744,1.5,1.9792
1.6751,1.5,1.9811
1.6758,1.5,1.983
1.6765,1.5,1.9849
1.6772,1.5,1.9868
1.6779,1.5,1.9886
1.6785,1.5,1.9905
1.6792,1.5,1.9924
1.6799,1.5,1.9943
1.6806,1.5,1.9962
1.6813,1.5,1.998
1.682,1.5,1.9999
1.6826,1.5,2.0018
1.6833,1.5,2.0037
1.684,1.5,2.0056
1.6847,1.5,2.0074
1.6854,1.5,2.0093
1.6861,1.5,2.0112
1.6867,1.5,2.0131
1.6874,1.5,2.015
1.6881,1.5,2.0168
1.6888,1.5,2.0187
1.6895,1.5,2.0206
1.6902,1.5,2.0225
1.6908,1.5,2.0243
1.6915,1.5,2.0262
1.6922,1.5,2.0281
1.6929,1.5,2.03
1.6936,1.5,2.0319
1.6943,1.5,2.0337
1.695,1.5,2.0356
1.6956,1.5,2.0375
1.6963,1.5,2.0394
1.697,1.5,2.0413
1.6977,1.5,2.0431
1.6984,1.5,2.045
1.6991,1.5,2.0469
1.6997,1.5,2.0488
1.7004,1.5,2.0507
1.7011,1.5,2.0525
1.7018,1.5,2.0544
1.7025,1.5,2.0563
1.7032,1.5,2.0582
1.7038,1.5,2.0601
1.7045,1.5,2.0619
1.7052,1.5,2.0638
1.7059,1.5,2.0657
1.7066,1.5,2.0676
1.7073,1.5,2.0695
1.7079,1.5,2.0713
1.7086,1.5,2.0732
1.7093,1.5,2.0751
1.71,1.5,2.077
1.7107,1.5,2.0789
1.7114,1.5,2.0807
1.7121,1.5,2.0826
1.7127,1.5,2.0845
1.7134,1.5,2.0864
1.7141,1.5,2.0882
1.7148,1.5,2.0901
1.7155,1.5,2.092
1.7162,1.5,2.0939
1.7168,1.5,2.0958
1.7175,1.5,2.0976
1.7182,1.5,2.0995
1.7189,1.5,2.1014
1.7196,1.5,2.1033
1.7203,1.5,2.1052
1.7209,1.5,2.107
1.7216,1.5,2.1089
1.7223,1.5,2.1108
1.723,1.5,2.1127
1.7237,1.5,2.1146
1.7244,1.5,2.1164
1.725,1.5,2.1183
1.7257,1.5,2.1202
1.7264,1.5,2.1221
1.7271,1.5,2.124
1.7278,1.5,2.1258
1.7285,1.5,2.1277
1.7292,1.5,2.1296
1.7298,1.5,2.1315
1.7305,1.5,2.1334
1.7312,1.5,2.1352
1.7319,1.5,2.1371
1.7326,1.5,2.139
1.7333,1.5,2.1409
1.7339,1.5,2.1427
1.7346,1.5,2.1446
1.7353,1.5,2.1465
1.736,1.5,2.1484
1.7367,1.5,2.1503
1.7374,1.5,2.1521
1.738,1.5,2.154
1.7387,1.5,2.1559
1.7394,1.5,2.1578
1.7401,1.5,2.1597
1.7408,1.5,2.1615
1.7415,1.5,2.1634
1.7422,1.5,2.1653
1.7428,1.5,2.1672
1.7435,1.5,2.1691
1.7442,1.5,2.1709
1.7449,1.5,2.1728
1.7456,1.5,2.1747
